ID,conflict_name,ccode,cname,region,secession,battledeadbest,lnbdb,battledeadlow,lnbdl,battledeadhigh,lnbdh,pop,lnpop,dper100k,begin,end,duration,lnduration,rate,lnrate,cw,intervention,democ,lngdp,gdpsq,milper,milperpop,lnmilperpop,milex,milqual,lnmilqual,milq2,mountain,lnmountain,ethfrac,lnethfrac,relfrac,lnrelfrac,relpolar,ethnicpolar
2032,"Cambodia 1978-98",811,"CAM",4,0,92125,11.4309,60750,11.01452,215000,12.27839,6780000,15.72949,1358.776,1978,1998,21,3.044523,4386.905,8.386379,1,1,0,6.045005,13.24813,70,.0000103,-11.48099,,,,,1,.6931472,.2969234,-1.214281,.095,-2.353878,0,0
2184,"Uganda 1981-91",500,"UGA",1,0,107950,11.58942,107950,11.58942,107950,11.58942,12807000,16.3655,842.8984,1981,1991,11,2.397895,9813.637,9.191528,1,1,0,6.280396,12.92606,6,4.68e-07,-14.57374,250090,41681.67,10.63782,21.12372,9.399999,2.341806,.8994653,-.1059548,.7242,-.3226877,1,0
1631,"Lebanon 1975-90",660,"LEB",6,0,130700,11.78066,130700,11.78066,130700,11.78066,2731000,14.82018,4785.793,1975,1990,16,2.772589,8168.75,9.008071,1,0,0,8.240121,15.73804,20,7.32e-06,-11.82445,128877,6443.85,8.770882,16.26016,57.10001,4.062166,.1348051,-2.003925,.7534,-.283159,1,1
2310,"Angola (UNITA 1975-95)",540,"ANG",1,0,144000,11.87757,144000,11.87757,144000,11.87757,6687000,15.71568,2153.432,1975,1995,21,3.044523,6857.143,8.833046,1,1,0,6.594413,12.19165,30,4.49e-06,-12.31448,146004,4866.8,8.490191,15.01101,9.700001,2.370244,.7832817,-.2442628,.6122,-.4906962,1,1
1865,"DRC 1998-2001",490,"DRC",1,0,145000,11.88449,145000,11.88449,145000,11.88449,46709180,17.65945,310.4315,1998,2001,4,1.386294,36250,10.49819,0,1,0,5.281613,13.77166,30,6.42e-07,-14.25825,308000,10266.67,9.236658,17.76863,4.2,1.648659,.9016318,-.103549,.68,-.3856625,1,1
1040,"Greek Civil War",350,"GRC",5,0,154000,11.94471,154000,11.94471,154000,11.94471,7223000,15.79278,2132.078,1946,1949,4,1.386294,38500,10.55841,1,1,1,6.693324,11.81617,120,.0000166,-11.00529,95622,796.85,6.680666,15.43909,21.8,3.12676,.0986451,-2.316227,.0394,-3.23399,0,0
2360,"Mozambique 1976-1992",541,"MZM",1,0,174599,12.07025,174599,12.07025,174599,12.07025,10606000,16.17693,1646.229,1976,1992,17,2.833213,10270.53,9.237034,1,1,0,7.074963,3.891785,20,1.89e-06,-13.1812,18018,900.9,6.803394,15.34447,2.4,1.223776,.6549301,-.4232268,.62,-.4780358,1,1
1780,"Ethiopia (Eritrea Indep.)",530,"ETH",1,1,200000,12.20607,150000,11.91839,350000,12.76569,23083000,16.95461,866.4385,1962,1991,30,3.401197,6666.667,8.804875,1,0,0,5.56452,13.63566,27,1.17e-06,-13.65877,18156,672.4445,6.51092,15.54663,70.39999,4.268298,.6935933,-.3658696,.6122,-.4906962,1,1
2031,"Cambodia 1967-75",811,"CAM",4,0,250000,12.42922,185000,12.12811,300000,12.61154,6313000,15.65812,3960.082,1967,1975,9,2.197225,27777.78,10.23199,1,1,0,6.612041,12.13222,83,.0000131,-11.23928,54143,652.3253,6.480544,15.56349,1,.6931472,.2969234,-1.214281,.095,-2.353878,0,0
2370,"Afghanistan 1978-2000",700,"AFG",3,0,556000,13.22852,556000,13.22852,556000,13.22852,15957000,16.58541,3484.364,1978,2000,23,3.135494,24173.91,10.09303,1,1,0,6.885509,10.56641,143,8.96e-06,-11.62256,52289,365.6573,5.901697,15.78947,65.60001,4.198705,.658281,-.4181234,.2718,-1.302689,1,1
1030,"Chinese Civil War",710,"CHN",4,0,1200000,13.99783,1200000,13.99783,1200000,13.99783,548585984,20.12285,218.7442,1946,1949,4,1.386294,300000,12.61154,1,1,0,5.451038,13.69601,4158,7.58e-06,-11.79006,789300,189.8268,5.246112,15.91642,37.4,3.648057,.1184524,-2.133244,.551,-.5960205,1,0
1960,"Vietnam War",817,"RVN",4,0,2097705,14.55635,2097705,14.55635,2097705,14.55635,23648000,16.97879,8870.539,1955,1975,21,3.044523,99890.71,11.51183,1,1,0,6.287858,12.91354,170,7.19e-06,-11.84299,379321,2231.3,7.71034,13.41245,19.2,3.005683,.2637117,-1.332899,.1302,-2.038683,0,0
